transaction_id,price,date_of_transfer,postcode,property_type,new_build,tenure,address,locality,town_city,district,county,ppd_category_type,record_status
{288DCE29-4BED-E510-E050-A8C06205480E},232000,2015-12-14 00:00,M41 8PA,D,N,F,72,,BENT LANES,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{288DCE29-4C01-E510-E050-A8C06205480E},332750,2015-12-11 00:00,M41 9DB,T,N,F,68,,CHURCH ROAD,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{288DCE29-4C44-E510-E050-A8C06205480E},141000,2015-11-19 00:00,M41 0YA,T,N,F,9,,CAVENDISH ROAD,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{23B6165E-88B0-FCF4-E050-A8C0620577FA},105000,2015-07-31 00:00,M41 6RT,F,N,L,READE HOUSE,FLAT 4,FLIXTON ROAD,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{23B6165E-8A84-FCF4-E050-A8C0620577FA},130000,2015-07-06 00:00,M41 5GG,S,N,L,2,,OVERDALE CRESCENT,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{288DCE29-4C80-E510-E050-A8C06205480E},180000,2015-11-06 00:00,M41 7AZ,S,N,F,19,,LEAMINGTON ROAD,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{21E5FEB7-66A9-2439-E050-A8C06205342E},27997,2015-05-06 00:00,M41 8NU,O,N,L,BROOKEDGE NURSERY,,WOODHOUSE ROAD,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{288DCE29-4CDB-E510-E050-A8C06205480E},194000,2015-12-11 00:00,M41 6FD,S,N,F,22,,MINEHEAD AVENUE,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{23B6165E-8920-FCF4-E050-A8C0620577FA},187500,2015-10-07 00:00,M41 0SL,S,N,F,11,,SEABROOK CRESCENT,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{23B6165E-8932-FCF4-E050-A8C0620577FA},99950,2015-09-04 00:00,M41 7GA,F,N,L,4,APARTMENT 10,PRESTWOOD CLOSE,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{288DCE29-4B12-E510-E050-A8C06205480E},315000,2015-12-11 00:00,M41 8SN,S,N,L,92,,ULLSWATER ROAD,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{288DCE29-4D2D-E510-E050-A8C06205480E},340000,2015-12-11 00:00,M41 6PH,D,N,F,50,,AMBLESIDE ROAD,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{288DCE29-4D35-E510-E050-A8C06205480E},158500,2015-11-25 00:00,M41 6JA,T,N,F,10,,BENTS AVENUE,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
